Bobby Hodge	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Bobby Hutcherson	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Bobby Wade	Eccentric Soul: The Way Out Label (Disc A)	no_match	
Bobby Wade	Eccentric Soul: The Way Out Label (Disc B)	no_match	
Bobby Wisdom	Eccentric Soul: The Renfro Label	no_match	
Bola Johnson & His Easy Life Top Beats	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Bola Johnson & His Easy Life Top Beats	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Bong Wish	Musicians for a Free Palestine	no_match	
Bongos Ikwue	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
Booker T. & The M.G.'s	Stax Christmas	no_match	
Brandi Carlile & Catherine Carlile	Barbie the Album (Best Weekend Ever Edition)	no_match	
Brandon Spaulding	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
Bread & Butter	Pacific Breeze Volume 2: Japanese City Pop, AOR & Boogie 1972-1986	no_match	
Brendan Eder Ensemble, Yorkshire Modular Society	I / II / III	no_match	
Brian Freel	Maybe I'm Dreaming	no_match	
Brian Green	Impressions For Headphones	no_match	
Brian Reitzell & Roger J. Manning Jr	Lost In Translation (Music From The Motion Picture Soundtrack)	no_match	
Brogan Bentley	May the Circle Remain Unbroken: a Tribute to Roky Erickson	no_match	
Brother Bill	Boddie Recording Company: Cleveland Ohio (Disc 3: Bounty Records)	no_match	
Brothers Young	Eccentric Soul: The Renfro Label	no_match	
Bud Powell	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Buddhastick Transparent	Virtual Dreams II - Ambient Explorations In The House & Techno Age, Japan 1993-1999	no_match	
Buddy McKnight	Eccentric Soul: The Renfro Label	no_match	
Busta Rhymes	Extiction Level Event: The Final World Front	no_match	
Byron Morris And Unity	Soul Of A Nation 2 (Jazz Is The Teacher Funk Is The Preacher: Afro-Centric Jazz, Street Funk And The Roots Of Rap In The Black Power Era 1969-75)	no_match	
CN	DJ-Kicks: Jessy Lanza	no_match	
Camera	Synthesist (40th Anniversary Edition)	no_match	
Cannonball Adderley	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Cantoma	Balearic Breakfast Vol:1	no_match	
Cantoma	out of town	fetch_error	404 Client Error: Not Found for url: https://api.discogs.com/releases/6245028
