genre,album_count,top_neighbors
footwork,2,house:0.03; leftfield:0.02; pop:0.00; experimental:0.00; electronic:0.00
funky house,2,nu disco:0.29; future funk:0.25; dance:0.20; synth funk:0.08; pop soul:0.05
gangsta rap,2,alternative hip hop:0.17; pop rap:0.17; pop soul:0.11; hip hop:0.02; funk:0.01
hip house,3,afrobeats:0.25; dance:0.17; pop rap:0.15; hardcore hip hop:0.09; house:0.06
italo-disco,0,
jazz funk,34,soul jazz:0.16; jazz fusion:0.12; funk:0.11; jazz:0.10; fusion:0.09
jazz instrument,2,future jazz:0.10; fusion:0.08; synth funk:0.08; jazz fusion:0.07; jazz funk:0.06
math pop,2,bossa nova:0.29; jazz pop:0.22; jazz rock:0.06; chamber pop:0.06; indie folk:0.02
minimal wave,2,minimal synth:0.25; hypnagogic pop:0.09; indietronica:0.04; minimal:0.03; new wave:0.02
motown,2,pop soul:0.11; soul:0.01; funk:0.01; pop:0.00; rock:0.00
neo-soul,0,
new rave,2,alternative dance:0.20; indietronica:0.08; electro:0.04; disco:0.03; leftfield:0.02
nu-disco,0,
orchestral,2,chamber folk:0.10; progressive:0.06; baroque pop:0.05; chamber pop:0.03; psychedelic:0.03
p-funk,0,
p.funk,2,psychedelic soul:0.33; funk rock:0.14; acid rock:0.14; hard rock:0.05; funk:0.01
piano rock,2,glam:0.14; glam rock:0.11; jazz pop:0.10; progressive pop:0.09; hard rock:0.05
post-modern,0,
progressive soul,2,psychedelic soul:0.14; neo soul:0.03; art pop:0.02; soul:0.01; funk:0.01
reggae,2,dub:0.14; experimental:0.00; indie rock:0.00; rock:0.00
rnb swing,2,dancehall:0.25; east coast hip hop:0.10; funk soul:0.07; neo soul:0.03; hip hop:0.02
samba,2,mpb:0.50; latin:0.14; bossa nova:0.12; psychedelic:0.03; folk:0.01
sound art,2,glitch:0.05; idm:0.02; ambient:0.01; electronic:0.00
symphonic rock,2,spoken word:0.17; prog rock:0.08; progressive rock:0.06; progressive:0.06; classic rock:0.04
synthpop,2,uk garage:0.20; alternative:0.07; alternative pop:0.04; art pop:0.02; leftfield:0.02
tape music,2,modern classical:0.03; ambient:0.01; electronic:0.00
tech house,2,techno:0.04; minimal:0.03; house:0.03; downtempo:0.01; ambient:0.00
theme,2,broken beat:0.17; soul jazz:0.11; post bop:0.04; fusion:0.04; jazz funk:0.03
third stream,2,instrumental jazz:0.14; modal jazz:0.14; cool jazz:0.07; post bop:0.04; instrumental:0.02
traditional pop,2,big band:0.33; am pop:0.25; surf:0.17; christmas music:0.14; surf rock:0.11
twee pop,2,chamber folk:0.10; chamber pop:0.06; pop rock:0.01; indie pop:0.01; pop:0.00
underground hip hop,2,instrumental hip hop:0.14; abstract hip hop:0.12; experimental hip hop:0.10; alternative hip hop:0.08; jazz rap:0.07
