genre,album_count,top_neighbors
rock and roll,13,merseybeat:0.14; beat music:0.12; classic rock:0.09; britpop:0.07; am pop:0.07
acid techno,12,acid:0.67; electro:0.21; breakbeat:0.11; techno:0.09; idm:0.09
alternative hip hop,12,jazz rap:0.24; conscious:0.17; gangsta rap:0.17; conscious hip hop:0.14; abstract hip hop:0.12
ambient pop,12,art pop:0.13; chillwave:0.09; psychedelic folk:0.07; freak folk:0.07; alternative pop:0.06
chillwave,12,electropop:0.12; hypnagogic pop:0.10; ambient pop:0.09; indietronica:0.09; experimental electronic:0.06
electronica,12,drill and bass:0.06; smooth jazz:0.06; jungle:0.06; idm:0.06; leftfield:0.05
pop rap,12,gangsta rap:0.17; hip house:0.15; west coast hip hop:0.13; r b:0.13; political hip hop:0.11
post-punk revival,0,
sophisti-pop,0,
space rock,12,space rock revival:0.29; slacker rock:0.19; slowcore:0.13; animal on cover:0.08; folktronica:0.05
synth funk,12,wonky:0.15; nu jazz:0.12; electropop:0.12; funky house:0.08; jazz instrument:0.08
prog rock,12,arena rock:0.13; heavy metal:0.12; progressive rock:0.12; progressive metal:0.12; classic rock:0.09
soul-jazz,0,
spiritual jazz,11,free jazz:0.18; fusion:0.09; jazz fusion:0.09; big band:0.08; contemporary jazz:0.08
alternative dance,10,new rave:0.20; indietronica:0.09; disco:0.08; synthwave:0.08; breaks:0.08
jazz rock,15,jazz fusion:0.12; jazz pop:0.09; jazz funk:0.09; progressive rock:0.07; alt rock:0.06
progressive pop,10,jazz pop:0.19; psychedelic pop:0.13; psychedelic folk:0.12; piano rock:0.09; indietronica:0.09
rhythm blues,0,
soul jazz,18,jazz funk:0.16; fusion:0.13; theme:0.11; funktronica:0.11; nu jazz:0.09
space rock revival,10,slacker rock:0.43; space rock:0.29; slowcore:0.28; animal on cover:0.09; shoegaze:0.07
chamber folk,9,contemporary folk:0.12; twee pop:0.10; british folk rock:0.10; orchestral:0.10; progressive folk:0.08
contemporary,0,
east coast hip hop,9,conscious hip hop:0.22; jazz rap:0.21; conscious:0.19; abstract hip hop:0.14; alternative hip hop:0.11
experimental hip hop,9,abstract hip hop:0.33; jazz rap:0.15; hardcore hip hop:0.12; conscious:0.11; alternative hip hop:0.11
folktronica,9,indietronica:0.09; leftfield:0.08; alternative folk:0.07; progressive pop:0.06; house:0.05
future jazz,9,jazz instrument:0.10; bass music:0.10; electroacoustic:0.08; boogie:0.08; broken beat:0.08
garage psych,9,heavy psych:0.44; garage punk:0.39; garage rock:0.19; acid rock:0.15; krautrock:0.14
hardcore,9,doom metal:0.20; hardcore punk:0.20; sludge metal:0.15; punk rock:0.09; punk:0.09
hyperpop,9,bubblegum bass:0.30; deconstructed club:0.25; club:0.22; electro house:0.20; edm:0.20
jazz pop,9,math pop:0.22; progressive pop:0.19; bossa nova:0.14; piano rock:0.10; british folk rock:0.10
pop punk,9,punk rock:0.14; power pop:0.13; punk:0.05; emo:0.04; math rock:0.04
progressive electronic,9,sound collage:0.18; glitch:0.17; glitch pop:0.09; plunderphonics:0.08; deconstructed club:0.07
alternative punk,8,garage rock revival:0.17; emo:0.10; indie:0.09; grunge:0.05; alternative:0.05
breakbeat,8,acid:0.17; drum and bass:0.14; acid techno:0.11; drum n bass:0.10; uk garage:0.09
dance-punk,0,
drum and bass,8,drill and bass:0.30; jungle:0.27; drum n bass:0.22; breakbeat:0.14; breakcore:0.11
dub techno,8,deep house:0.09; ambient techno:0.08; techno:0.04; new age:0.02; electronic:0.01
glam rock,8,glam:0.27; hard rock:0.12; piano rock:0.11; lounge:0.08; power pop:0.07
non-music,0,
political hip hop,8,conscious hip hop:0.40; west coast hip hop:0.30; jazz rap:0.29; conscious:0.20; trap:0.14
power pop,8,emo pop:0.25; pop punk:0.13; glam rock:0.07; emo:0.05; punk rock:0.04
soundtrack,0,
surf rock,8,traditional pop:0.11; am pop:0.10; surf:0.08; baroque pop:0.08; christmas music:0.08
trap,8,west coast hip hop:0.18; political hip hop:0.14; pop rap:0.11; cloud rap:0.11; artist on cover:0.11
trip hop,8,wonky:0.10; acid jazz:0.10; instrumental hip hop:0.08; downtempo:0.06; future jazz:0.06
abstract hip hop,7,experimental hip hop:0.33; jazz rap:0.31; conscious hip hop:0.25; conscious:0.21; east coast hip hop:0.14
alternative folk,7,americana:0.11; alternative country:0.11; folktronica:0.07; indie folk:0.06; country rock:0.05
bossa nova,7,math pop:0.29; latin:0.17; jazz pop:0.14; bossanova:0.12; samba:0.12
